Año;LOCALIDAD;EDAD;Adolescentes encuestados;Adolesc_alteraciónensalud;Adolesc_somnolenciadiurna;Adolesc_usodeAudifonos
2023;Barrios Unidos;14;14;3;0;10
2023;Barrios Unidos;15;14;4;4;13
2023;Barrios Unidos;16;5;3;2;5
2023;Barrios Unidos;17;4;0;0;2
2023;Bosa;11;34;4;1;21
2023;Bosa;12;34;6;1;20
2023;Bosa;13;34;6;1;26
2023;Bosa;14;39;6;1;26
2023;Bosa;15;27;0;0;17
2023;Bosa;16;26;2;0;19
2023;Bosa;17;15;5;2;9
2023;Candelaria;11;5;0;0;2
2023;Candelaria;12;8;0;0;2
2023;Candelaria;13;4;1;1;3
2023;Candelaria;14;7;0;0;7
2023;Candelaria;15;6;3;0;5
2023;Candelaria;16;5;0;0;4
2023;Candelaria;17;6;0;0;5
2023;Chapinero;11;11;2;0;7
2023;Chapinero;12;11;3;0;7
2023;Chapinero;13;13;2;1;8
2023;Chapinero;14;8;3;0;4
2023;Chapinero;15;9;1;1;7
2023;Chapinero;16;8;2;0;6
2023;Chapinero;17;9;5;1;8
2023;Ciudad Bolívar;11;29;1;1;17
2023;Ciudad Bolívar;12;33;3;1;20
2023;Ciudad Bolívar;13;27;0;2;16
2023;Ciudad Bolívar;14;37;2;0;26
2023;Ciudad Bolívar;15;33;2;1;22
2023;Ciudad Bolívar;16;23;3;1;14
2023;Ciudad Bolívar;17;16;1;0;13
2023;Engativá;11;23;8;3;12
2023;Engativá;12;14;2;1;10
2023;Engativá;13;31;7;2;17
2023;Engativá;14;19;7;1;13
2023;Engativá;15;34;13;6;29
2023;Engativá;16;24;11;4;18
2023;Engativá;17;21;12;2;19
2023;Fontibón;11;21;0;0;14
2023;Fontibón;12;19;2;0;12
2023;Fontibón;13;22;2;0;14
2023;Fontibón;14;7;0;0;6
2023;Fontibón;15;14;0;0;13
2023;Fontibón;16;14;2;1;9
2023;Fontibón;17;12;3;0;11
2023;Kennedy;11;37;4;0;19
2023;Kennedy;12;38;5;0;24
2023;Kennedy;13;44;5;0;32
2023;Kennedy;14;38;6;1;25
2023;Kennedy;15;33;5;0;27
2023;Kennedy;16;37;6;1;28
2023;Kennedy;17;23;3;0;21
2023;Mártires;11;24;2;0;14
2023;Mártires;12;16;2;0;13
2023;Mártires;13;24;4;0;15
2023;Mártires;14;10;1;0;8
2023;Mártires;15;15;1;0;10
2023;Mártires;16;9;1;0;8
2023;Mártires;17;6;1;0;6
2023;Puente Aranda;11;18;4;0;15
2023;Puente Aranda;12;16;2;0;12
2023;Puente Aranda;13;18;0;0;12
2023;Puente Aranda;14;17;1;0;10
2023;Puente Aranda;15;13;0;0;12
2023;Puente Aranda;16;17;1;0;14
2023;Puente Aranda;17;12;1;0;10
2023;Rafael Uribe;11;28;4;0;20
2023;Rafael Uribe;12;23;1;0;14
2023;Rafael Uribe;13;23;3;0;16
2023;Rafael Uribe;14;9;0;0;6
2023;Rafael Uribe;15;22;3;0;12
2023;Rafael Uribe;16;7;3;0;6
2023;Rafael Uribe;17;9;0;0;7
2023;San Cristóbal;11;28;0;0;15
2023;San Cristóbal;12;20;0;0;9
2023;San Cristóbal;13;23;6;1;16
2023;San Cristóbal;14;8;0;0;6
2023;San Cristóbal;15;26;2;0;20
2023;San Cristóbal;16;16;3;1;8
2023;San Cristóbal;17;10;1;0;7
2023;Santa Fe;11;21;2;0;11
2023;Santa Fe;12;17;1;0;12
2023;Santa Fe;13;16;1;0;14
2023;Santa Fe;14;24;2;1;14
2023;Santa Fe;15;11;0;0;9
2023;Santa Fe;16;16;1;0;13
2023;Santa Fe;17;7;2;0;6
2023;Suba;11;51;18;1;30
2023;Suba;12;34;13;2;26
2023;Suba;13;54;15;3;31
2023;Suba;14;40;12;6;27
2023;Suba;15;40;12;6;28
2023;Suba;16;25;7;2;17
2023;Suba;17;16;3;0;13
2023;Sumapaz;11;1;0;0;1
2023;Sumapaz;12;2;0;0;1
2023;Sumapaz;13;1;0;0;1
2023;Sumapaz;14;1;1;0;0
2023;Sumapaz;15;2;0;0;1
2023;Sumapaz;16;1;0;0;1
2023;Sumapaz;17;2;1;0;1
2023;Teusaquillo;11;12;1;0;6
2023;Teusaquillo;12;8;4;0;6
2023;Teusaquillo;13;10;1;0;7
2023;Teusaquillo;14;8;4;1;6
2023;Teusaquillo;15;8;0;1;6
2023;Teusaquillo;16;14;5;1;10
2023;Teusaquillo;17;3;1;1;3
2023;Tunjuelito;11;13;1;1;4
2023;Tunjuelito;12;21;1;1;12
2023;Tunjuelito;13;19;1;2;11
2023;Tunjuelito;14;20;1;0;15
2023;Tunjuelito;15;17;4;0;15
2023;Tunjuelito;16;14;2;0;12
2023;Tunjuelito;17;8;2;1;6
2023;Usaquén;11;16;5;0;9
2023;Usaquén;12;22;5;1;9
2023;Usaquén;13;16;5;0;13
2023;Usaquén;14;15;3;2;9
2023;Usaquén;15;14;3;1;12
2023;Usaquén;16;12;6;1;7
2023;Usaquén;17;9;2;1;5
2023;Usme;11;22;6;0;10
2023;Usme;12;25;3;1;10
2023;Usme;13;19;2;1;10
2023;Usme;14;23;6;0;14
2023;Usme;15;16;2;0;13
2023;Usme;16;19;2;1;11
2023;Usme;17;9;1;0;8
2024;Antonio Nariño;11;19;2;0;13
2024;Antonio Nariño;12;14;2;0;9
2024;Antonio Nariño;13;19;1;0;16
2024;Antonio Nariño;14;15;1;0;11
2024;Antonio Nariño;15;22;2;0;16
2024;Antonio Nariño;16;16;1;0;12
2024;Antonio Nariño;17;12;3;0;9
2024;Barrios Unidos;11;11;0;2;5
2024;Barrios Unidos;12;9;1;2;5
2024;Barrios Unidos;13;10;2;2;6
